ID,MARCA,MODELO,COR,IDADE,SEXO,FATORSEGURO
26977,HONDA,CITY,PRATA, 18,F,8.62
26978,VV,GOL,VERDE, 30,M,9.58
26979,FIAT,CRONOS,VERDE, 38,M,4.84
26980,HONDA,ZRV,PRATA, 75,M,6.21
26981,FIAT,TORO,PRATA, 54,F,10.73
26982,FIAT,CRONOS,LARANJA, 99,F,16.35
26983,HONDA,CRV,CINZA, 20,F,4.69
26984,HONDA,CIVIC,VERDE, 88,F,10.40
26985,GM,EQUINOX,LARANJA, 92,M,8.91
26986,JEEP,COMPASS,AZUL, 42,F,7.00
26987,GM,S10,PRETO, 69,M,14.31
26988,GM,SPIN,BRANCO, 23,M,6.27
26989,TOYOTA,HILUX,CINZA, 81,M,20.00
26990,HONDA,CITY,PRETO, 52,F,5.89
26991,TOYOTA,COROLLACROSS,LARANJA, 25,F,11.19
26992,TOYOTA,COROLLA,PRATA, 61,F,6.30
26993,HONDA,WRV,VERDE, 76,M,5.68
26994,VV,JETTA,BRANCO, 85,F,27.62
26995,HONDA,WRV,LARANJA, 78,F,5.26
26996,GM,TRACKER,CINZA, 42,M,8.96
26997,HYUNDAI,CRETA,PRETO, 38,F,7.69
26998,GM,EQUINOX,AZUL, 34,F,5.81
26999,VV,TAOS,PRETO, 71,M,13.07
27000,HONDA,CRV,CINZA, 44,M,4.15
27001,FIAT,MOBI,VERDE, 75,M,3.97
27002,HYUNDAI,CRETA,CINZA, 28,F,10.10
27003,FIAT,TORO,AZUL, 24,M,11.47
27004,JEEP,COMPASS,LARANJA, 52,M,6.93
27005,VV,GOL,BRANCO, 65,F,14.43
27006,JEEP,RENEGADE,VERDE, 99,F,14.52
27007,HONDA,FIT,BRANCO, 41,F,7.35
27008,VV,JETTA,BRANCO, 97,F,33.77
27009,HONDA,HRV,CINZA, 41,M,7.41
27010,FIAT,CRONOS,LARANJA, 97,F,15.83
27011,FIAT,TORO,LARANJA, 81,M,12.23
27012,HONDA,WRV,PRATA, 39,M,5.13
27013,FIAT,PALIO,PRETO, 33,M,14.11
27014,VV,TCROSS,VERDE, 43,M,8.58
27015,TOYOTA,HILUX,PRATA, 39,M,14.35
27016,FIAT,UNO,PRETO, 96,M,19.32
27017,HONDA,WRV,CINZA, 81,F,6.84
27018,VV,TAOS,PRETO, 74,M,13.70
27019,GM,EQUINOX,AZUL, 99,F,9.84
27020,HONDA,HRV,PRATA, 62,F,6.67
27021,GM,ONIX,LARANJA, 51,M,9.37
27022,GM,TRAILBLAZER,AZUL, 94,M,9.30
27023,VV,JETTA,VERDE, 92,M,19.33
27024,VV,GOL,PRATA, 78,M,11.63
27025,FIAT,ARGOS,VERDE, 96,M,12.05
27026,HONDA,HRV,PRATA, 34,M,7.15
27027,HONDA,WRV,AZUL, 28,F,5.08
27028,VV,SAVEIRO,PRETO, 19,M,14.98
27029,HONDA,FIT,CINZA, 25,M,6.76
27030,GM,S10,PRETO, 58,M,13.34
27031,VV,POLO,VERDE, 56,F,10.94
27032,FIAT,TORO,PRATA, 41,F,11.14
27033,FIAT,CRONOS,PRETO, 57,F,4.85
27034,TOYOTA,COROLLACROSS,CINZA, 42,F,12.29
27035,GM,S10,PRATA, 91,F,20.94
27036,FIAT,TORO,PRETO, 87,M,14.56
27037,FIAT,CRONOS,CINZA, 60,F,12.14
27038,GM,MONTANA,PRATA, 97,M,15.98
27039,FIAT,UNO,CINZA, 51,F,13.36
27040,FIAT,FASTBACK,BRANCO, 60,F,13.91
27041,VV,TCROSS,AZUL, 35,M,9.05
27042,FIAT,STRADA,LARANJA, 23,F,14.12
27043,TOYOTA,HILUX,AZUL, 34,F,13.11
27044,VV,TCROSS,PRETO, 81,M,11.60
27045,HONDA,CITY,PRETO, 85,F,8.17
27046,GM,S10,LARANJA, 71,M,13.57
27047,FIAT,UNO,PRETO, 40,M,11.80
27048,HYUNDAI,HB20,PRATA, 53,F,12.06
27049,TOYOTA,YARIS,VERDE, 38,M,8.83
27050,GM,TRACKER,PRATA, 23,F,9.74
27051,VV,SAVEIRO,AZUL, 21,F,13.68
27052,HONDA,ZRV,PRETO, 43,M,4.85
27053,FIAT,UNO,LARANJA, 29,F,12.21
27054,HONDA,ZRV,BRANCO, 76,M,8.71
27055,TOYOTA,YARIS,AZUL, 62,F,8.52
27056,FIAT,CRONOS,AZUL, 71,M,5.29
27057,HONDA,CIVIC,CINZA, 27,F,10.28
27058,HYUNDAI,CRETA,AZUL, 69,F,7.72
27059,GM,S10,PRATA, 80,M,17.60
27060,TOYOTA,COROLLA,VERDE, 61,F,6.02
27061,JEEP,RENEGADE,PRATA, 46,F,9.42
27062,VV,VIRTUS,CINZA, 23,M,11.02
27063,TOYOTA,COROLLACROSS,PRETO, 92,F,15.74
27064,HONDA,CIVIC,PRATA, 52,M,7.97
27065,GM,SPIN,VERDE, 50,M,3.26
27066,HONDA,ZRV,LARANJA, 50,M,4.46
27067,GM,TRAILBLAZER,PRATA, 66,F,6.57
27068,FIAT,CRONOS,PRETO, 86,F,14.28
27069,FIAT,STRADA,VERDE, 46,F,12.23
27070,TOYOTA,COROLLA,CINZA, 24,F,8.77
27071,HONDA,CRV,CINZA, 46,F,3.89
27072,VV,JETTA,VERDE, 53,M,12.58
27073,HONDA,ZRV,BRANCO, 65,M,7.67
27074,HONDA,ZRV,PRETO, 89,F,7.03
27075,VV,JETTA,VERDE, 32,F,13.66
27076,GM,TRAILBLAZER,PRATA, 32,M,7.04
27077,VV,SAVEIRO,AZUL, 88,F,15.74
27078,GM,ONIX,CINZA, 97,F,20.10
27079,JEEP,RENEGADE,AZUL, 71,F,9.34
27080,GM,MONTANA,VERDE, 38,F,8.98
27081,VV,SAVEIRO,PRATA, 68,M,13.55
27082,HONDA,ZRV,LARANJA, 59,F,4.25
27083,FIAT,MOBI,PRETO, 38,F,3.20
27084,HONDA,WRV,PRETO, 46,F,4.67
27085,HONDA,ZRV,PRETO, 97,M,8.27
27086,VV,VIRTUS,LARANJA, 71,F,7.49
27087,HONDA,CIVIC,CINZA, 95,M,14.45
27088,GM,MONTANA,PRATA, 99,F,16.26
27089,GM,ONIX,VERDE, 22,M,12.27
27090,JEEP,RENEGADE,AZUL, 74,F,9.79
27091,GM,S10,PRATA, 73,F,15.82
27092,FIAT,MOBI,BRANCO, 69,F,5.47
27093,HONDA,FIT,PRETO, 91,M,7.34
27094,GM,ONIX,LARANJA, 84,M,12.91
27095,JEEP,RENEGADE,VERDE, 44,M,8.58
27096,JEEP,COMMANDER,PRETO, 82,M,8.07
27097,FIAT,UNO,AZUL, 85,M,15.11
27098,VV,POLO,PRETO, 75,M,13.76
27099,TOYOTA,YARIS,PRATA, 86,F,12.98
27100,VV,POLO,PRATA, 69,F,13.68
27101,TOYOTA,HILUX,PRETO, 65,F,13.68
27102,FIAT,PALIO,AZUL, 26,F,13.99
27103,HONDA,HRV,CINZA, 68,F,7.70
27104,GM,TRAILBLAZER,LARANJA, 58,M,5.77
27105,VV,JETTA,VERDE, 65,F,12.95
27106,FIAT,PALIO,PRATA, 63,M,14.44
27107,GM,ONIX,BRANCO, 54,F,15.67
27108,HONDA,CRV,PRETO, 97,M,5.89
27109,FIAT,CRONOS,AZUL, 36,M,4.66
27110,FIAT,MOBI,LARANJA, 62,F,3.31
27111,HONDA,FIT,BRANCO, 89,F,10.27
27112,VV,JETTA,AZUL, 20,F,15.26
27113,GM,EQUINOX,BRANCO, 43,M,9.44
27114,FIAT,UNO,PRETO, 54,M,11.66
27115,JEEP,RENEGADE,PRETO, 72,M,10.09
27116,HYUNDAI,HB20,AZUL, 92,M,16.85
27117,GM,TRACKER,BRANCO, 93,F,18.25
27118,FIAT,TORO,PRATA, 20,M,14.00
27119,HONDA,ZRV,AZUL, 26,F,4.92
27120,FIAT,FASTBACK,CINZA, 74,M,12.27
27121,FIAT,PALIO,LARANJA, 72,F,13.64
27122,HONDA,ZRV,CINZA, 23,M,6.87
27123,JEEP,COMMANDER,LARANJA, 92,M,8.92
27124,GM,S10,BRANCO, 32,F,22.23
27125,VV,TCROSS,LARANJA, 99,F,14.03
27126,FIAT,CRONOS,AZUL, 23,F,5.26
27127,TOYOTA,HILUX,AZUL, 31,F,13.25
27128,VV,GOL,LARANJA, 87,M,11.52
27129,HONDA,HRV,PRETO, 25,M,7.21
27130,VV,TAOS,CINZA, 67,F,14.91
27131,FIAT,UNO,CINZA, 55,F,13.63
27132,VV,POLO,PRATA, 66,M,13.17
27133,HONDA,HRV,PRETO, 87,M,8.90
27134,HONDA,HRV,PRATA, 80,F,8.06
27135,FIAT,ARGOS,CINZA, 79,M,11.26
27136,JEEP,COMPASS,PRETO, 22,M,9.21
27137,VV,SAVEIRO,PRETO, 22,F,14.23
27138,VV,GOL,PRATA, 47,M,9.29
27139,VV,TAOS,PRATA, 31,M,13.65
27140,FIAT,CRONOS,PRETO, 96,F,7.41
27141,HYUNDAI,HB20,PRATA, 21,F,15.42
27142,HONDA,ZRV,CINZA, 48,M,5.57
27143,GM,EQUINOX,PRATA, 73,F,7.18
27144,HONDA,WRV,CINZA, 65,M,5.93
27145,JEEP,RENEGADE,PRETO, 97,M,15.07
27146,JEEP,RENEGADE,PRETO, 70,F,9.93
27147,JEEP,RENEGADE,PRATA, 33,F,10.25
27148,FIAT,UNO,BRANCO, 68,M,20.03
27149,GM,SPIN,CINZA, 80,M,5.05
27150,VV,POLO,PRETO, 75,F,13.78
27151,GM,ONIX,LARANJA, 80,M,12.01
27152,FIAT,ARGOS,PRETO, 45,M,7.51
27153,FIAT,UNO,PRETO, 79,M,14.55
27154,TOYOTA,COROLLA,CINZA, 62,M,7.46
27155,VV,GOL,CINZA, 34,F,11.26
27156,HONDA,ZRV,CINZA, 36,M,5.93
27157,GM,TRAILBLAZER,VERDE, 31,M,6.63
27158,JEEP,COMMANDER,AZUL, 97,F,9.31
27159,JEEP,RENEGADE,AZUL, 30,F,8.93
27160,FIAT,FASTBACK,CINZA, 67,F,11.19
27161,HONDA,FIT,CINZA, 30,M,6.46
27162,HONDA,CIVIC,LARANJA, 39,F,6.91
27163,FIAT,STRADA,PRETO, 18,M,17.10
27164,JEEP,COMMANDER,PRATA, 71,F,7.08
27165,HONDA,CRV,AZUL, 84,M,4.60
27166,FIAT,TORO,VERDE, 58,F,9.71
27167,HONDA,ZRV,AZUL, 95,F,7.19
27168,HONDA,WRV,PRATA, 72,M,5.95
27169,FIAT,STRADA,PRATA, 67,M,14.88
27170,HONDA,CRV,AZUL, 21,F,3.95
27171,GM,TRAILBLAZER,AZUL, 82,F,7.32
27172,HONDA,ZRV,PRETO, 57,M,4.89
27173,FIAT,PALIO,CINZA, 43,M,15.63
27174,JEEP,COMMANDER,PRETO, 28,M,7.03
27175,GM,ONIX,LARANJA, 74,F,10.95
27176,HONDA,CITY,PRETO, 24,M,7.40
27177,GM,TRAILBLAZER,VERDE, 28,F,6.46
27178,GM,ONIX,PRATA, 26,F,12.58
27179,FIAT,MOBI,PRATA, 55,M,3.51
27180,VV,TAOS,PRATA, 29,M,13.98
27181,TOYOTA,COROLLACROSS,PRETO, 65,M,11.09
27182,GM,TRACKER,PRETO, 31,F,8.34
27183,JEEP,COMMANDER,PRETO, 28,M,7.08
27184,JEEP,RENEGADE,PRETO, 33,M,9.55
27185,HONDA,CIVIC,AZUL, 29,M,7.94
27186,HONDA,CITY,AZUL, 71,M,6.66
27187,FIAT,ARGOS,LARANJA, 86,M,9.60
27188,GM,EQUINOX,CINZA, 87,M,10.36
27189,JEEP,RENEGADE,PRATA, 67,M,10.41
27190,FIAT,FASTBACK,PRATA, 49,M,9.56
27191,HONDA,ZRV,BRANCO, 73,M,8.46
27192,VV,VIRTUS,LARANJA, 79,M,8.65
27193,HYUNDAI,HB20,VERDE, 68,F,11.86
27194,HYUNDAI,HB20,PRATA, 42,F,12.11
27195,VV,TCROSS,CINZA, 36,F,10.72
27196,JEEP,RENEGADE,AZUL, 58,F,8.34
27197,VV,JETTA,LARANJA, 80,F,14.98
27198,FIAT,UNO,CINZA, 73,F,15.62
27199,HONDA,ZRV,VERDE, 68,F,5.12
27200,HYUNDAI,HB20,PRATA, 72,M,14.22
27201,HONDA,FIT,BRANCO, 24,F,8.44
27202,FIAT,ARGOS,VERDE, 55,F,7.24
27203,JEEP,COMMANDER,PRATA, 58,F,6.56
27204,FIAT,CRONOS,AZUL, 88,F,13.71
27205,HONDA,ZRV,BRANCO, 20,M,9.13
27206,VV,GOL,CINZA, 98,M,18.09
27207,FIAT,CRONOS,LARANJA, 36,M,10.04
27208,GM,TRACKER,AZUL, 72,F,7.99
27209,GM,SPIN,PRETO, 26,M,3.98
27210,VV,VIRTUS,CINZA, 48,F,8.50
27211,HONDA,CIVIC,PRATA, 82,F,10.19
27212,VV,TCROSS,BRANCO, 18,M,18.14
27213,FIAT,FASTBACK,BRANCO, 89,F,20.08
27214,VV,TAOS,PRATA, 24,M,14.82
27215,HYUNDAI,CRETA,CINZA, 25,M,10.46
27216,HONDA,FIT,VERDE, 58,M,4.60
27217,TOYOTA,HILUX,VERDE, 29,F,14.11
27218,HYUNDAI,CRETA,PRETO, 61,F,7.83
27219,HONDA,HRV,CINZA, 61,M,7.46
27220,VV,VIRTUS,BRANCO, 82,F,14.91
27221,VV,GOL,LARANJA, 60,F,8.21
27222,HONDA,CITY,PRATA, 95,F,10.20
27223,JEEP,RENEGADE,BRANCO, 52,F,13.39
27224,GM,MONTANA,CINZA, 67,M,11.58
27225,TOYOTA,COROLLACROSS,CINZA, 74,M,14.33
27226,GM,ONIX,BRANCO, 31,M,17.82
27227,HONDA,CRV,BRANCO, 52,F,5.06
27228,HONDA,CITY,LARANJA, 23,M,6.96
27229,VV,TCROSS,AZUL, 58,F,8.31
27230,FIAT,CRONOS,LARANJA, 44,F,9.10
27231,FIAT,MOBI,LARANJA, 69,F,3.58
27232,JEEP,COMMANDER,CINZA, 49,F,6.80
27233,VV,SAVEIRO,CINZA, 29,M,15.56
27234,GM,EQUINOX,CINZA, 25,F,8.74
27235,JEEP,COMPASS,CINZA, 35,F,9.34
27236,HYUNDAI,CRETA,PRATA, 54,F,7.75
27237,FIAT,FASTBACK,PRATA, 79,M,11.79
27238,HYUNDAI,HB20,BRANCO, 74,M,21.24
27239,HONDA,WRV,VERDE, 87,F,6.10
27240,VV,TAOS,CINZA, 68,F,15.24
27241,VV,TCROSS,PRETO, 64,F,9.19
27242,VV,TCROSS,PRETO, 49,F,9.00
27243,HONDA,ZRV,PRATA, 27,M,6.00
27244,HYUNDAI,CRETA,CINZA, 72,F,9.98
27245,GM,TRACKER,CINZA, 50,M,8.85
27246,HONDA,HRV,LARANJA, 50,M,5.57
27247,JEEP,COMPASS,PRATA, 48,F,7.72
27248,VV,VIRTUS,PRATA, 92,F,12.30
27249,HONDA,ZRV,VERDE, 82,F,5.69
27250,VV,TCROSS,PRATA, 56,F,9.59
27251,TOYOTA,YARIS,AZUL, 64,M,8.71
27252,JEEP,RENEGADE,AZUL, 38,M,8.74
27253,TOYOTA,COROLLACROSS,LARANJA, 50,M,9.46
27254,HONDA,HRV,PRETO, 67,M,6.81
27255,FIAT,CRONOS,PRETO, 70,F,11.45
27256,JEEP,COMPASS,PRATA, 34,M,8.61
27257,VV,SAVEIRO,PRATA, 77,M,15.05
27258,VV,TCROSS,CINZA, 47,F,10.24
27259,GM,TRAILBLAZER,PRETO, 53,F,6.22
27260,HONDA,ZRV,PRATA, 93,M,7.91
27261,VV,GOL,VERDE, 50,M,8.46
27262,FIAT,FASTBACK,PRATA, 53,F,9.02
27263,JEEP,COMMANDER,BRANCO, 90,F,14.05
27264,FIAT,UNO,PRATA, 88,M,17.87
27265,FIAT,MOBI,VERDE, 46,M,3.21
27266,HONDA,ZRV,VERDE, 67,M,5.14
27267,FIAT,CRONOS,LARANJA, 57,F,9.38
27268,JEEP,COMPASS,VERDE, 54,M,7.36
27269,FIAT,TORO,LARANJA, 73,M,10.94
27270,HONDA,WRV,LARANJA, 46,F,4.11
27271,FIAT,STRADA,CINZA, 61,F,15.58
27272,VV,TCROSS,PRATA, 63,F,9.51
27273,FIAT,STRADA,PRETO, 68,F,14.33
27274,FIAT,UNO,PRATA, 74,M,14.49
27275,TOYOTA,COROLLACROSS,PRETO, 41,M,10.36
27276,VV,SAVEIRO,PRETO, 88,F,16.58
27277,VV,POLO,PRATA, 32,M,13.68
27278,VV,SAVEIRO,CINZA, 58,F,13.58
27279,GM,S10,AZUL, 99,F,20.58
27280,GM,S10,AZUL, 79,M,15.25
27281,VV,GOL,CINZA, 96,F,16.93
27282,FIAT,MOBI,PRATA, 46,M,3.65
27283,GM,EQUINOX,BRANCO, 98,M,16.07
27284,GM,MONTANA,AZUL, 78,F,10.40
27285,JEEP,COMMANDER,AZUL, 55,M,5.81
27286,FIAT,UNO,LARANJA, 38,F,11.11
27287,VV,JETTA,LARANJA, 23,M,14.63
27288,FIAT,STRADA,VERDE, 43,M,12.70
27289,GM,TRAILBLAZER,VERDE, 36,M,6.28
27290,GM,MONTANA,PRETO, 94,M,14.29
27291,HONDA,HRV,LARANJA, 74,F,6.24
27292,VV,TAOS,PRETO, 77,M,14.33
27293,HONDA,CRV,LARANJA, 56,F,3.26
27294,FIAT,UNO,AZUL, 41,F,10.77
27295,HONDA,CRV,LARANJA, 34,M,3.38
27296,TOYOTA,COROLLA,VERDE, 43,F,6.10
27297,FIAT,UNO,CINZA, 97,M,23.08
27298,GM,TRACKER,AZUL, 97,M,12.04
27299,HONDA,CITY,VERDE, 88,F,8.18
27300,VV,SAVEIRO,AZUL, 58,M,11.02
27301,HONDA,WRV,LARANJA, 35,F,4.79
27302,HYUNDAI,HB20,CINZA, 47,F,13.50
27303,FIAT,UNO,LARANJA, 59,F,10.69
27304,FIAT,MOBI,PRATA, 84,F,4.93
27305,HONDA,HRV,BRANCO, 38,M,9.96
27306,JEEP,COMPASS,VERDE, 46,F,7.02
27307,GM,TRAILBLAZER,PRATA, 57,M,6.53
27308,VV,VIRTUS,CINZA, 28,M,10.26
27309,GM,MONTANA,PRETO, 74,M,10.34
27310,FIAT,CRONOS,VERDE, 64,F,10.39
27311,JEEP,RENEGADE,BRANCO, 66,F,14.90
27312,FIAT,TORO,PRATA, 93,M,17.22
27313,HONDA,CRV,AZUL, 92,M,5.21
27314,HYUNDAI,HB20,BRANCO, 48,M,18.03
27315,GM,SPIN,PRETO, 53,M,3.53
27316,VV,SAVEIRO,LARANJA, 77,F,12.58
27317,JEEP,RENEGADE,PRETO, 50,F,8.79
27318,FIAT,MOBI,CINZA, 41,F,3.83
27319,FIAT,CRONOS,BRANCO, 21,M,19.95
27320,HONDA,CRV,PRATA, 89,F,4.95
27321,VV,POLO,CINZA, 49,F,13.54
27322,GM,MONTANA,AZUL, 38,M,8.60
27323,FIAT,FASTBACK,CINZA, 27,M,12.28
27324,GM,EQUINOX,AZUL, 89,M,8.59
27325,HONDA,CRV,LARANJA, 38,M,3.26
27326,HONDA,FIT,AZUL, 99,M,7.84
27327,FIAT,CRONOS,PRATA, 53,F,4.98
27328,JEEP,COMMANDER,LARANJA, 89,F,8.27
27329,FIAT,CRONOS,VERDE, 44,F,9.61
27330,VV,POLO,LARANJA, 91,F,16.11
27331,HONDA,HRV,LARANJA, 87,F,7.87
27332,FIAT,TORO,VERDE, 97,M,16.54
27333,HONDA,CRV,BRANCO, 52,M,5.07
27334,HYUNDAI,HB20,AZUL, 20,F,13.81
27335,FIAT,UNO,LARANJA, 33,F,11.43
27336,VV,VIRTUS,LARANJA, 38,M,7.15
27337,FIAT,MOBI,AZUL, 63,M,3.47
27338,HONDA,FIT,AZUL, 68,F,4.75
27339,FIAT,PALIO,BRANCO, 59,M,20.92
27340,FIAT,MOBI,PRATA, 89,F,4.86
27341,FIAT,MOBI,LARANJA, 46,F,3.24
27342,GM,S10,BRANCO, 68,M,22.26
27343,FIAT,FASTBACK,AZUL, 56,F,8.12
27344,HYUNDAI,HB20,LARANJA, 86,M,15.01
27345,HONDA,ZRV,AZUL, 41,F,4.72
27346,GM,TRACKER,CINZA, 62,F,8.98
27347,FIAT,FASTBACK,CINZA, 76,M,12.58
27348,JEEP,RENEGADE,PRATA, 99,M,16.34
27349,FIAT,ARGOS,AZUL, 53,M,6.95
27350,HYUNDAI,CRETA,AZUL, 47,F,6.89
27351,VV,TAOS,PRATA, 94,M,19.65
27352,GM,S10,PRATA, 30,F,15.15
27353,VV,TCROSS,BRANCO, 63,M,14.48
27354,FIAT,PALIO,AZUL, 55,M,12.23
27355,GM,EQUINOX,VERDE, 48,M,5.95
27356,TOYOTA,COROLLA,PRETO, 27,M,7.22
27357,GM,SPIN,BRANCO, 43,M,5.23
27358,GM,TRAILBLAZER,PRATA, 72,M,7.42
27359,FIAT,FASTBACK,PRETO, 56,M,8.95
27360,GM,EQUINOX,LARANJA, 71,F,6.46
27361,TOYOTA,HILUX,LARANJA, 72,M,13.76
27362,JEEP,COMPASS,PRETO, 73,F,8.63
27363,VV,JETTA,PRATA, 20,F,17.35
27364,JEEP,RENEGADE,PRETO, 63,M,9.32
27365,VV,TAOS,PRETO, 45,F,11.50
27366,FIAT,STRADA,PRETO, 81,F,16.86
27367,JEEP,COMPASS,VERDE, 94,M,11.63
27368,GM,S10,PRATA, 46,M,13.91
27369,GM,S10,PRATA, 51,M,13.87
27370,TOYOTA,COROLLACROSS,PRETO, 89,M,14.95
27371,TOYOTA,COROLLA,PRATA, 59,F,6.49
27372,VV,SAVEIRO,VERDE, 41,F,11.02
27373,GM,EQUINOX,AZUL, 56,F,5.98
27374,FIAT,CRONOS,PRATA, 53,M,4.99
27375,HONDA,CITY,VERDE, 66,M,6.34
27376,TOYOTA,HILUX,AZUL, 44,M,12.29
27377,VV,TAOS,CINZA, 63,F,14.05
27378,GM,TRAILBLAZER,PRETO, 34,F,6.56
27379,HONDA,CIVIC,LARANJA, 66,F,7.10
27380,FIAT,ARGOS,LARANJA, 77,M,8.46
27381,VV,TCROSS,PRETO, 87,F,12.19
27382,HONDA,ZRV,VERDE, 28,M,5.39
27383,FIAT,UNO,VERDE, 68,M,12.34
27384,JEEP,COMPASS,PRETO, 57,M,7.49
27385,VV,VIRTUS,AZUL, 84,M,9.67
27386,VV,GOL,AZUL, 85,M,11.49
27387,FIAT,CRONOS,AZUL, 93,F,14.76
27388,FIAT,STRADA,PRETO, 51,F,12.79
27389,VV,SAVEIRO,VERDE, 56,M,11.25
27390,FIAT,STRADA,AZUL, 34,M,13.14
27391,HONDA,HRV,CINZA, 24,M,8.88
27392,HONDA,WRV,VERDE, 86,F,6.39
27393,TOYOTA,HILUX,VERDE, 40,M,12.77
27394,TOYOTA,YARIS,VERDE, 73,F,9.64
27395,VV,TCROSS,PRETO, 54,M,8.81
27396,GM,TRACKER,LARANJA, 95,F,10.81
27397,HONDA,CITY,PRATA, 74,M,7.62
27398,HONDA,WRV,PRETO, 36,F,4.73
27399,HONDA,ZRV,PRETO, 68,F,5.34
27400,HONDA,CIVIC,PRATA, 18,M,10.66
27401,GM,EQUINOX,PRATA, 97,M,11.10
27402,VV,TAOS,LARANJA, 48,F,10.25
27403,TOYOTA,COROLLACROSS,VERDE, 37,M,10.34
27404,FIAT,UNO,PRETO, 26,M,13.61
27405,FIAT,MOBI,PRETO, 91,M,5.29
27406,HONDA,CIVIC,PRETO, 35,M,8.17
27407,GM,TRAILBLAZER,BRANCO, 41,F,9.26
27408,FIAT,STRADA,PRETO, 40,F,13.03
27409,VV,GOL,LARANJA, 39,M,8.54
27410,FIAT,FASTBACK,PRETO, 76,M,10.85
27411,FIAT,STRADA,PRETO, 47,M,12.88
27412,GM,EQUINOX,AZUL, 61,M,5.96
27413,HONDA,ZRV,VERDE, 73,F,4.98
27414,JEEP,COMPASS,LARANJA, 20,M,8.96
27415,GM,ONIX,VERDE, 99,M,17.34
27416,HYUNDAI,CRETA,PRETO, 90,M,11.26
27417,GM,S10,AZUL, 99,M,21.30
27418,GM,S10,VERDE, 42,M,12.85
27419,GM,TRACKER,LARANJA, 55,F,6.74
27420,VV,TAOS,PRATA, 78,F,15.21
27421,HONDA,WRV,AZUL, 68,M,4.85
27422,VV,TCROSS,PRATA, 91,M,14.36
27423,VV,POLO,LARANJA, 47,F,10.58
27424,TOYOTA,COROLLA,BRANCO, 19,M,12.15
27425,FIAT,CRONOS,VERDE, 44,M,10.04
27426,JEEP,COMPASS,AZUL, 71,M,8.13
27427,VV,JETTA,CINZA, 80,F,19.24
27428,GM,ONIX,BRANCO, 72,F,18.22
27429,JEEP,COMPASS,AZUL, 46,F,7.04
27430,TOYOTA,COROLLA,AZUL, 54,F,5.59
27431,GM,ONIX,BRANCO, 89,M,23.30
27432,HONDA,CITY,AZUL, 77,F,6.86
27433,TOYOTA,HILUX,VERDE, 59,F,12.34
27434,GM,EQUINOX,AZUL, 46,F,5.95
27435,VV,VIRTUS,VERDE, 71,M,8.33
27436,HONDA,CITY,PRETO, 42,M,6.42
27437,VV,VIRTUS,VERDE, 18,F,9.56
27438,GM,MONTANA,LARANJA, 93,M,12.89
27439,HONDA,CIVIC,BRANCO, 50,M,11.66
27440,GM,SPIN,AZUL, 71,F,3.49
27441,GM,SPIN,LARANJA, 57,F,3.05
27442,VV,SAVEIRO,CINZA, 74,F,16.15
27443,GM,SPIN,CINZA, 78,F,4.93
27444,GM,TRAILBLAZER,VERDE, 73,F,6.81
27445,GM,EQUINOX,BRANCO, 26,M,11.17
27446,TOYOTA,HILUX,PRATA, 71,F,15.61
27447,GM,ONIX,CINZA, 28,M,14.05
27448,TOYOTA,COROLLA,CINZA, 49,F,7.15
27449,VV,VIRTUS,CINZA, 67,F,9.47
27450,FIAT,CRONOS,AZUL, 35,F,4.82
27451,HYUNDAI,CRETA,CINZA, 28,M,10.16
27452,GM,TRAILBLAZER,LARANJA, 92,F,8.42
27453,HONDA,FIT,BRANCO, 86,F,9.68
27454,VV,POLO,PRETO, 42,F,11.57
27455,HONDA,CRV,LARANJA, 55,F,3.25
27456,FIAT,UNO,CINZA, 92,M,21.27
27457,HONDA,HRV,CINZA, 59,F,6.95
27458,FIAT,ARGOS,PRETO, 35,M,7.91
27459,FIAT,UNO,AZUL, 61,F,11.36
27460,JEEP,COMPASS,LARANJA, 43,F,6.91
27461,FIAT,FASTBACK,VERDE, 21,F,10.48
27462,GM,EQUINOX,LARANJA, 39,F,5.43
27463,HONDA,HRV,CINZA, 23,M,8.90
27464,HONDA,HRV,CINZA, 97,M,12.11
27465,HONDA,FIT,VERDE, 40,M,4.73
27466,HYUNDAI,CRETA,CINZA, 65,F,9.27
27467,FIAT,TORO,PRETO, 95,F,16.21
27468,FIAT,PALIO,PRATA, 21,F,17.15
27469,VV,GOL,VERDE, 80,M,10.83
27470,GM,ONIX,BRANCO, 64,M,16.84
27471,VV,JETTA,LARANJA, 66,F,12.56
27472,HYUNDAI,CRETA,PRETO, 18,M,9.80
27473,JEEP,COMMANDER,AZUL, 64,M,6.21
27474,HONDA,CIVIC,PRETO, 73,M,8.68
27475,GM,SPIN,VERDE, 40,M,3.42
27476,JEEP,COMPASS,VERDE, 28,F,8.14
27477,HONDA,WRV,AZUL, 35,M,4.80
27478,HYUNDAI,HB20,AZUL, 69,M,12.08
27479,GM,MONTANA,VERDE, 32,M,9.54
27480,TOYOTA,YARIS,CINZA, 38,M,10.93
27481,GM,TRACKER,CINZA, 48,M,8.90
27482,VV,POLO,PRATA, 62,M,12.88
27483,HONDA,CRV,PRATA, 20,F,4.22
27484,JEEP,RENEGADE,PRETO, 38,F,8.79
27485,JEEP,RENEGADE,BRANCO, 78,M,17.17
27486,FIAT,TORO,PRATA, 50,F,10.92
27487,HONDA,CITY,PRETO, 37,F,6.18
27488,FIAT,FASTBACK,AZUL, 32,M,9.12
